id	TCGA-04-1542-01A	TCGA-04-1536-01A	TCGA-04-1530-01A	TCGA-04-1516-01A	TCGA-04-1514-01A
TBX21	-2.75214004517	-2.75757002831	2.6958398819	-1.39962005615	-0.103587001562
SMARCD1	-1.47368001938	2.87635993958	2.87635993958	0.0	2.87635993958
SMARCC1	0.227782994509	0.227782994509	1.51486003399	2.87635993958	-1.47368001938
CREBBP	1.13156998158	-1.72699999809	1.47920000553	-2.24274992943	1.51502001286
HDAC2	0.227800995111	3.00617003441	2.86167001724	-2.46610999107	0.228968992829
SMARCC2	-1.47368001938	2.87635993958	2.87635993958	0.0	-1.51486003399
SUV420H1	2.87635993958	2.87635993958	-1.51486003399	2.87635993958	0.227782994509
PCK2	-0.324402987957	0.946035027504	-2.11775994301	2.47339010239	-2.03555011749
MAPK14	-1.51478004456	1.82260000706	-1.51380002499	-1.51441001892	0.0
NCOA1	-1.48966002464	-0.534367024899	-1.51625001431	0.0	1.49702000618
MAPK11	-1.47354996204	-0.565468013287	-1.47306001186	-1.51139998436	-2.87616991997
NCOA2	2.87635993958	1.51486003399	1.47368001938	-1.51486003399	-2.87635993958
CDK5R1	-1.47363996506	-1.22830998898	-1.47363996506	0.0	-1.47362995148
NR1I3	0.0	3.08476996422	0.0	0.780160009861	0.0
HDAC1	-1.47363996506	-0.791472017765	1.51140999794	0.0	-1.47359001637
FKBP5	-1.51486003399	2.87635993958	-1.51486003399	0.0	-1.51486003399
EP300	-1.72476994991	-0.35265699029	-2.54744005203	2.44380998611	-2.87069010735
BAX	-1.93141996861	-0.501663029194	0.0	-1.1998000145	-2.39723992348
YWHAH	-2.87635993958	2.87635993958	-1.47368001938	0.0	-2.87635993958
KRT17	-0.0171926002949	-0.334665000439	2.99918007851	-1.27811002731	0.62553101778
RELA	2.86646008492	3.00201010704	0.0	2.88012003899	-2.86390995979
FKBP4	2.87635993958	2.87635993958	1.47368001938	2.87635993958	1.51486003399
MDM2	-0.704847991467	0.908302009106	0.836637973785	0.0	0.177491992712
CDK5	-0.227752998471	2.88523006439	-1.51482999325	2.87649011612	1.47369003296
SUMO2	-2.87623000145	3.11040997505	2.87641000748	-1.51139998436	1.51488995552
IL2	-1.72169995308	-2.3958799839	1.08307003975	-1.14210999012	-2.38318991661
MAPK10	-2.87628006935	-2.5834300518	-2.87604999542	-2.86644005775	-1.47362005711
PPP5C	-2.87635993958	1.51486003399	-2.87635993958	-1.51486003399	-1.47368001938
SMARCA4	-2.87635993958	0.0	1.51486003399	-2.87635993958	2.87635993958
GSK3B	2.87638998032	3.11040997505	0.0	2.87663006783	-2.87616991997
MAPK9	-1.51478004456	-0.496324002743	-2.87488007545	-0.227041006088	-1.51479005814
MAPK8	-0.0765656009316	-0.234313994646	0.0	0.0	0.0
STAT1	-0.23690199852	1.38136994839	2.50136995316	0.744244992733	0.0
PBX1	2.87626004219	2.87626004219	1.50265002251	2.87620997429	2.87620997429
CDKN1A	-2.3258099556	-1.16105997562	1.92341005802	-2.81502008438	-1.09821999073
IL13	-1.66110002995	0.0	2.99734997749	0.0	-2.23644995689
VIPR1	-2.75214004517	-2.75757002831	0.0	1.68148005009	-1.34941995144
SFN	-1.47368001938	0.227782994509	1.51486003399	1.51486003399	-2.87635993958
AKT1	-1.44944000244	0.20941400528	-2.87213993073	-2.86784005165	3.24957990646
MAPK1	-2.87620997429	-0.44321501255	1.47370004654	0.0	-2.87624001503
POU1F1	-1.5147600174	-0.227686002851	0.0	1.47358000278	-1.47358000278
MAPK3	2.87638998032	1.91354000568	-1.51478004456	-1.51133000851	0.0
GATA3	-0.22760400176	0.617515027523	1.58351004124	-0.564341008663	-2.50066995621
NR4A1	-4.06854009628	-0.236540004611	2.82160997391	0.0	1.47361004353
PRKACB	-2.87635993958	-0.227782994509	-1.51486003399	-1.51486003399	-1.51486003399
PRKACG	-1.47368001938	2.87635993958	0.0	0.0	-1.47368001938
TBP	0.0	0.0	0.747276008129	0.0	0.0
NFKB1	-2.36112999916	-3.23853993416	0.0	-4.97985982895	-2.86390995979
EGR1	-1.10886001587	1.95081996918	0.70418202877	-0.762714982033	0.617421984673
